TELEM,1060080,746030,746097,0.000,0.000,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.000,0.000,0.000,3
TELEM,1060100,746039,746106,0.056,0.049,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.000,0.000,0.000,3
TELEM,1060120,746062,746128,0.172,0.162,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.035,-0.004,-0.002,3
TELEM,1060140,746090,746155,0.274,0.269,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.008,0.002,0.008,3
TELEM,1060160,746120,746184,0.345,0.336,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.014,0.002,0.002,3
TELEM,1060180,746149,746212,0.396,0.384,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.014,0.000,-0.002,3
TELEM,1060200,746177,746241,0.417,0.410,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.004,0.000,-0.002,3
TELEM,1060220,746205,746269,0.431,0.426,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.014,-0.008,0.002,3
TELEM,1060240,746233,746296,0.434,0.436,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.002,0.000,-0.002,3
TELEM,1060260,746260,746324,0.442,0.437,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.012,-0.004,0.000,3
TELEM,1060280,746287,746351,0.441,0.443,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.006,0.000,0.006,3
TELEM,1060300,746315,746378,0.440,0.442,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.014,0.000,-0.002,3
TELEM,1060320,746343,746406,0.445,0.440,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.002,0.002,0.002,3
TELEM,1060340,746371,746433,0.449,0.446,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.014,0.000,0.002,3
TELEM,1060360,746399,746461,0.451,0.443,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.010,0.004,0.008,3
TELEM,1060380,746427,746489,0.459,0.447,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.006,0.004,0.006,3
TELEM,1060400,746456,746517,0.458,0.457,-0.05,-3.28,1.73,-0.051,0.016,-0.016,-0.010,-0.002,-0.002,3
TELEM,1060420,746484,746545,0.463,0.456,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.006,0.000,0.004,3
TELEM,1060440,746513,746574,0.460,0.456,-0.05,-3.28,1.73,-0.051,0.016,-0.016,0.010,-0.004,-0.008,3
TELEM,1060460,746542,746602,0.464,0.462,-0.05,-3.28,1.73,-0.441,-0.359,0.465,-0.012,0.004,-0.006,3
TELEM,1060480,746570,746631,0.466,0.460,-0.05,-3.28,1.73,-0.441,-0.359,0.465,-0.008,0.002,0.006,3
TELEM,1060500,746600,746660,0.467,0.463,-0.05,-3.28,1.73,-0.441,-0.359,0.465,0.010,-0.004,-0.002,3
TELEM,1060520,746629,746689,0.468,0.465,-0.05,-3.28,1.73,-0.441,-0.359,0.465,0.006,-0.004,0.002,3
TELEM,1060540,746658,746718,0.475,0.467,-0.05,-3.28,1.73,-0.441,-0.359,0.465,0.010,0.006,0.002,3
TELEM,1060560,746687,746747,0.473,0.474,-0.05,-3.28,1.73,-0.441,-0.359,0.465,0.000,-0.006,0.000,3
TELEM,1060580,746717,746776,0.478,0.474,-0.05,-3.28,1.73,-0.020,0.262,0.008,0.002,-0.004,0.000,3
TELEM,1060600,746746,746806,0.477,0.474,-0.05,-3.28,1.73,0.328,-0.004,-0.031,-0.002,0.006,0.004,3
TELEM,1060620,746776,746835,0.481,0.479,-0.05,-3.28,1.73,-0.250,-0.004,-0.070,-0.002,-0.002,-0.002,3
TELEM,1060640,746806,746865,0.478,0.475,-0.05,-3.28,1.73,-0.211,0.109,-0.375,0.000,-0.002,0.002,3
TELEM,1060660,746836,746895,0.481,0.480,-0.05,-3.28,1.73,-0.172,0.188,-0.348,-0.002,-0.004,0.002,3
TELEM,1060680,746866,746924,0.484,0.483,-0.05,-3.28,1.73,-0.172,-0.504,0.457,0.004,0.000,0.002,3
TELEM,1060700,746896,746954,0.485,0.478,-0.05,-3.28,1.73,0.059,-0.082,-0.191,-0.004,-0.006,-0.002,3
TELEM,1060720,746925,746984,0.486,0.481,-0.05,-3.28,1.73,-0.094,-0.043,-0.039,0.004,0.000,-0.002,3
TELEM,1060740,746955,747014,0.487,0.484,-0.05,-3.28,1.73,-0.250,-0.043,-0.078,0.004,0.000,-0.002,3
TELEM,1060760,746985,747044,0.487,0.485,-0.05,-3.28,1.73,-0.172,-0.004,0.035,0.004,0.000,-0.002,3
TELEM,1060780,747015,747074,0.487,0.486,-0.05,-3.28,1.73,0.059,-0.004,0.074,-0.006,0.002,0.004,3
TELEM,1060800,747045,747104,0.487,0.487,-0.04,-3.29,1.66,-0.211,-0.004,0.074,-0.006,0.002,0.004,3
TELEM,1060820,747076,747134,0.487,0.487,-0.04,-3.29,1.66,0.137,0.031,0.230,-0.006,0.002,0.004,3
TELEM,1060840,747106,747164,0.488,0.494,-0.04,-3.29,1.66,-0.172,0.262,-0.348,-0.006,0.002,0.004,3
TELEM,1060860,747136,747194,0.494,0.492,-0.04,-3.29,1.66,-0.051,0.070,-0.156,-0.006,0.002,0.004,3
TELEM,1060880,747166,747224,0.492,0.490,-0.04,-3.29,1.66,-0.203,0.148,-0.348,-0.006,0.002,0.004,3
TELEM,1060900,747196,747254,0.490,0.489,-0.04,-3.29,1.66,-0.316,-0.121,0.230,-0.006,0.002,0.004,3
TELEM,1060920,747227,747285,0.489,0.489,-0.04,-3.29,1.66,0.020,0.262,0.000,-0.006,0.002,0.004,3
TELEM,1060940,747257,747315,0.495,0.488,-0.04,-3.29,1.65,0.020,-0.004,-0.039,-0.006,0.002,0.004,3
TELEM,1060960,747288,747345,0.493,0.493,-0.04,-3.29,1.65,-0.133,-0.195,0.000,-0.006,0.002,0.004,3
TELEM,1060980,747318,747376,0.497,0.491,-0.04,-3.29,1.65,-0.020,0.188,-0.156,-0.002,0.006,0.000,3
TELEM,1061000,747348,747406,0.494,0.496,-0.05,-3.30,1.65,0.059,0.301,0.035,0.002,0.000,0.000,3
TELEM,1061020,747379,747437,0.492,0.493,-0.05,-3.30,1.65,-0.020,0.070,0.266,-0.002,0.002,-0.002,3
TELEM,1061040,747409,747467,0.497,0.498,-0.05,-3.30,1.65,0.027,0.031,-0.039,-0.002,0.002,-0.002,3
TELEM,1061060,747440,747497,0.493,0.494,-0.05,-3.30,1.65,0.066,-0.082,0.035,0.006,0.004,-0.004,3
TELEM,1061080,747470,747528,0.497,0.492,-0.05,-3.30,1.65,-0.086,0.301,0.000,0.006,0.008,0.000,3
TELEM,1061100,747501,747558,0.493,0.496,-0.05,-3.30,1.65,-0.086,0.148,-0.078,-0.002,-0.002,-0.002,3
TELEM,1061120,747531,747589,0.497,0.493,-0.05,-3.30,1.65,-0.125,-0.082,0.035,0.002,-0.004,-0.002,3
TELEM,1061140,747562,747619,0.493,0.496,-0.05,-3.30,1.65,0.027,0.188,-0.078,0.000,0.000,-0.004,3
TELEM,1061160,747592,747650,0.496,0.493,-0.05,-3.30,1.65,0.027,0.188,-0.078,-0.002,0.006,0.000,3
TELEM,1061180,747623,747681,0.493,0.496,-0.05,-3.30,1.65,0.027,0.188,-0.078,0.000,-0.008,-0.006,3
TELEM,1061200,747654,747711,0.496,0.500,-0.05,-3.30,1.65,0.027,0.188,-0.078,0.010,0.002,0.002,3
TELEM,1061220,747684,747742,0.500,0.495,-0.05,-3.30,1.65,0.219,0.102,-0.348,0.000,0.008,-0.004,3
TELEM,1061240,747715,747772,0.495,0.499,-0.05,-3.30,1.65,-0.242,-0.512,0.266,0.006,0.000,-0.002,3
TELEM,1061260,747745,747803,0.498,0.495,-0.05,-3.30,1.65,-0.395,-0.051,-0.191,0.006,0.000,-0.002,3
TELEM,1061280,747776,747833,0.494,0.498,-0.05,-3.30,1.65,-0.395,-0.051,-0.191,0.006,-0.004,-0.002,3